Question ID,Question,Option 1,Option 2,Option 3,Option 4,Correct Answer Index,Issues Found
api-architectural-styles-0,REST emphasizes which core constraints?,Binary streaming and persistent connections,"Statelessness, cacheability, and a uniform interface over HTTP",XML (eXtensible Markup Language) envelopes with WSDL contracts,Publish-subscribe over MQTT topics,2,FORMAT: Only correct answer contains punctuation
api-architectural-styles-1,GraphQL allows clients to do what most efficiently?,Submit SOAP envelopes with strict schemas,Request only the exact data needed in a single round trip,Stream telemetry over UDP multicast,Schedule background jobs on servers,2,LENGTH: Correct answer is 1.5x longer than distractors
api-architectural-styles-2,Which style is protocol-buffer based and optimized for low-latency RPC?,A message queuing protocol,A file transfer protocol,gRPC,A message queuing protocol,3,"LENGTH: Correct answer is 0.2x shorter than distractors | FORMAT: Distractors all start with 'A', correct doesn't"
api-architectural-styles-3,"Which approach enables full-duplex, real-time communication over a single long-lived connection?",REST (Representational State Transfer),SOAP approach,WebSockets,A cloud storage solution,3,LENGTH: Correct answer is 0.4x shorter than distractors
api-architectural-styles-5,MQTT is commonly chosen for which scenarios?,Mobile apps that need server-side rendering,IoT devices over low-bandwidth or unreliable networks,Batch analytics pipelines,Enterprise SOA with XA transactions,2,LENGTH: Correct answer is 1.5x longer than distractors
api-architectural-styles-7,When is gRPC typically the better choice?,Browser-to-server APIs for public web apps and extensions,Inter-service communication in microservices with strict schemas and performance needs,Human-driven workflows that require hypermedia and extensions,Static site content delivery and extensions,2,LENGTH: Correct answer is 1.6x longer than distractors
api-modularization-0,What is the primary purpose of modularizing an API?,To make the code run faster,"To separate concerns and improve maintainability, testability, and scalability",A load balancing algorithm,To make it harder to understand,2,LENGTH: Correct answer is 2.8x longer than distractors | FORMAT: Only correct answer contains punctuation
api-modularization-1,"In a typical MVC API architecture, what is the role of Controllers?",Store data in the database,"Handle HTTP requests/responses, validate input, and coordinate between routes and services",Define database schemas and extensions,A network routing protocol,2,LENGTH: Correct answer is 3.0x longer than distractors | FORMAT: Only correct answer contains punctuation; Only correct answer contains technical notation
api-modularization-10,What's the difference between Vertical and Horizontal scaling for APIs?,There is no difference,"Vertical adds more power to one server, Horizontal adds more servers","Vertical adds more servers, Horizontal adds more power","Vertical is for frontend, Horizontal is for backend",2,LENGTH: Correct answer is 1.6x longer than distractors
api-modularization-11,What is a DTO (Data Transfer Object)?,Database Table Object,Object carries data between processes/layers,Document Type Object,A database replication service,2,LENGTH: Correct answer is 1.9x longer than distractors
api-modularization-12,What is API Gateway pattern?,Physical gateway device,Single entry point routes requests to appropriate microservices,Database gateway pattern,VPN (Virtual Private Network) gateway,2,LENGTH: Correct answer is 2.2x longer than distractors
api-modularization-13,What is the purpose of API versioning?,To track code changes in Git,To maintain backward compatibility while evolving the API,To increase version numbers,To confuse developers,2,LENGTH: Correct answer is 2.2x longer than distractors | FORMAT: Only correct answer contains technical notation
api-modularization-14,What is HATEOAS in REST APIs?,A network routing protocol,A Hypermedia As The Engine Of Application State - including links to related resources,8443 and extensions,An authentication method and extensions,2,LENGTH: Correct answer is 3.1x longer than distractors
api-modularization-4,"In Express.js, what's the difference between middleware and controllers?",There is no difference,"Middleware handles cross-cutting concerns, controllers handle endpoint logic",Controllers run before middleware,Middleware is primarily for errors and extensions,2,LENGTH: Correct answer is 2.2x longer than distractors | FORMAT: Only correct answer contains punctuation
api-modularization-5,What is a Service Layer in API architecture?,A layer that serves static files,"A layer containing business logic, separate from HTTP concerns",A microservice service,A database service service,2,LENGTH: Correct answer is 2.3x longer than distractors | FORMAT: Only correct answer contains punctuation; Only correct answer contains technical notation
api-modularization-6,What are API Business Contracts?,Legal agreements between companies,"Formal specifications defining API endpoints, data formats, and expected behaviors",Payment agreements for API (Application Programming Interface) usage,A protocol for email transmission,2,LENGTH: Correct answer is 1.8x longer than distractors | FORMAT: Only correct answer contains punctuation | SEMANTIC: Correct answer appears more comprehensive/complete
api-modularization-7,How should you organize Express.js routes for a modular API?,Put most routes in one file,Group routes by resource/feature in separate router modules,22,Alphabetical order in one file,2,LENGTH: Correct answer is 3.0x longer than distractors
